t,PWM,SPEED
0.000,0.000,0.000
0.100,0.000,0.000
0.200,0.000,0.000
0.300,0.000,0.000
0.400,0.000,0.000
0.500,0.000,0.000
0.600,0.000,0.000
0.700,0.000,0.000
0.800,0.000,0.000
0.900,0.000,0.000
1.000,0.000,0.000
1.100,0.000,0.000
1.200,0.000,0.000
1.300,0.000,0.000
1.400,0.000,0.000
1.500,0.000,0.000
1.600,0.000,0.000
1.700,0.000,0.000
1.800,0.000,0.000
1.900,0.000,0.000
2.000,0.000,0.000
2.100,230.000,62.400
2.200,230.000,110.400
2.300,230.000,128.000
2.400,230.000,134.400
2.500,230.000,137.600
2.600,230.000,137.600
2.700,230.000,139.200
2.800,230.000,139.200
2.900,230.000,139.200
3.000,230.000,140.800
3.100,230.000,139.200
3.200,230.000,139.200
3.300,230.000,140.800
3.400,230.000,139.200
3.500,230.000,140.800
3.600,230.000,139.200
3.700,230.000,140.800
3.800,230.000,140.800
3.900,230.000,139.200
4.000,230.000,140.800
4.100,230.000,140.800
4.200,0.000,123.200
4.300,0.000,94.400
4.400,0.000,65.600
4.500,0.000,41.600
4.600,0.000,19.200
4.700,0.000,4.800
4.800,0.000,0.000
4.900,0.000,0.000
5.000,0.000,0.000
5.100,0.000,0.000
5.200,0.000,0.000
5.300,0.000,0.000
5.400,0.000,0.000
5.500,0.000,0.000
5.600,0.000,0.000
5.700,0.000,0.000
5.800,0.000,0.000
5.900,0.000,0.000
6.000,0.000,0.000
6.100,0.000,0.000
6.200,0.000,0.000
6.300,230.000,62.400
6.400,230.000,113.600
6.500,230.000,128.000
6.600,230.000,136.000
6.700,230.000,137.600
6.800,230.000,139.200
6.900,230.000,140.800
7.000,230.000,139.200
7.100,230.000,140.800
7.200,230.000,140.800
7.300,230.000,140.800
7.400,230.000,139.200
7.500,230.000,140.800
7.600,230.000,139.200
7.700,230.000,140.800
7.800,230.000,140.800
7.900,230.000,139.200
8.000,230.000,140.800
8.100,230.000,140.800
8.200,230.000,139.200
8.300,230.000,140.800
8.400,0.000,123.200
8.500,0.000,92.800
8.600,0.000,65.600
8.700,0.000,40.000
8.800,0.000,19.200
8.900,0.000,1.600
9.000,0.000,0.000
9.100,0.000,0.000
9.200,0.000,0.000
9.300,0.000,0.000
9.400,0.000,0.000
9.500,0.000,0.000
9.600,0.000,0.000
9.700,0.000,0.000
9.800,0.000,0.000
9.900,0.000,0.000
10.000,0.000,0.000
10.100,0.000,0.000
10.200,0.000,0.000
10.300,0.000,0.000
10.400,0.000,0.000
10.500,230.000,64.000
10.600,230.000,113.600
10.700,230.000,128.000
10.800,230.000,136.000
10.900,230.000,137.600
11.000,230.000,139.200
11.100,230.000,139.200
11.200,230.000,139.200
11.300,230.000,139.200
11.400,230.000,139.200
11.500,230.000,140.800
11.600,230.000,139.200
11.700,230.000,140.800
11.800,230.000,139.200
11.900,230.000,140.800
12.000,230.000,140.800
12.100,230.000,139.200
12.200,230.000,140.800
12.300,230.000,140.800
12.400,230.000,139.200
12.500,230.000,140.800
12.600,0.000,124.800
12.700,0.000,92.800
12.800,0.000,67.200
12.900,0.000,40.000
13.000,0.000,20.800
13.100,0.000,1.600
13.200,0.000,0.000
13.300,0.000,0.000
13.400,0.000,0.000
13.500,0.000,0.000
13.600,0.000,0.000
13.700,0.000,0.000
13.800,0.000,0.000
13.900,0.000,0.000
14.000,0.000,0.000
14.100,0.000,0.000
14.200,0.000,0.000
14.300,0.000,0.000
14.400,0.000,0.000
14.500,0.000,0.000
14.600,0.000,0.000
14.700,230.000,64.000
14.800,230.000,112.000
14.900,230.000,129.600
15.000,230.000,136.000
15.100,230.000,137.600
15.200,230.000,139.200
15.300,230.000,140.800
15.400,230.000,139.200
15.500,230.000,140.800
15.600,230.000,140.800
15.700,230.000,139.200
15.800,230.000,140.800
15.900,230.000,140.800
16.000,230.000,140.800
16.100,230.000,140.800
16.200,230.000,140.800
16.300,230.000,140.800
16.400,230.000,140.800
16.500,230.000,140.800
16.600,230.000,140.800
16.700,230.000,140.800
16.800,0.000,124.800
16.900,0.000,94.400
17.000,0.000,67.200
17.100,0.000,41.600
17.200,0.000,20.800
17.300,0.000,1.600
17.400,0.000,0.000
17.500,0.000,0.000
17.600,0.000,0.000
17.700,0.000,0.000
17.800,0.000,0.000
17.900,0.000,0.000
18.000,0.000,0.000
18.100,0.000,0.000
18.200,0.000,0.000
18.300,0.000,0.000
18.400,0.000,0.000
18.500,0.000,0.000
18.600,0.000,0.000
18.700,0.000,0.000
18.800,0.000,0.000
18.900,230.000,65.600
19.000,230.000,113.600
19.100,230.000,129.600
19.200,230.000,136.000
19.300,230.000,139.200
19.400,230.000,139.200
19.500,230.000,140.800
19.600,230.000,140.800
19.700,230.000,140.800
19.800,230.000,140.800
19.900,230.000,140.800
20.000,230.000,140.800
20.100,230.000,140.800
20.200,230.000,140.800
20.300,230.000,140.800
20.400,230.000,140.800
20.500,230.000,140.800
20.600,230.000,139.200
20.700,230.000,140.800
20.800,230.000,140.800
20.900,230.000,140.800
21.000,0.000,124.800
21.100,0.000,94.400
21.200,0.000,65.600
21.300,0.000,40.000
21.400,0.000,19.200
21.500,0.000,1.600
21.600,0.000,0.000
21.700,0.000,0.000
21.800,0.000,0.000
21.900,0.000,0.000
22.000,0.000,0.000
22.100,0.000,0.000
22.200,0.000,0.000
22.300,0.000,0.000
22.400,0.000,0.000
22.500,0.000,0.000
22.600,0.000,0.000
22.700,0.000,0.000
22.800,0.000,0.000
22.900,0.000,0.000
23.000,0.000,0.000
23.100,230.000,64.000
23.200,230.000,113.600
23.300,230.000,128.000
23.400,230.000,137.600
23.500,230.000,137.600
23.600,230.000,140.800
23.700,230.000,140.800
23.800,230.000,140.800
23.900,230.000,140.800
24.000,230.000,140.800
24.100,230.000,140.800
24.200,230.000,142.400
24.300,230.000,140.800
24.400,230.000,140.800
24.500,230.000,140.800
24.600,230.000,140.800
24.700,230.000,140.800
24.800,230.000,142.400
24.900,230.000,140.800
25.000,230.000,140.800
25.100,230.000,140.800
25.200,0.000,124.800
25.300,0.000,94.400
25.400,0.000,67.200
25.500,0.000,41.600
25.600,0.000,20.800
25.700,0.000,1.600
25.800,0.000,0.000
25.900,0.000,0.000
26.000,0.000,0.000
26.100,0.000,0.000
26.200,0.000,0.000
26.300,0.000,0.000
26.400,0.000,0.000
26.500,0.000,0.000
26.600,0.000,0.000
26.700,0.000,0.000
26.800,0.000,0.000
26.900,0.000,0.000
27.000,0.000,0.000
27.100,0.000,0.000
27.200,0.000,0.000
27.300,230.000,64.000
27.400,230.000,115.200
27.500,230.000,129.600
27.600,230.000,136.000
27.700,230.000,139.200
27.800,230.000,140.800
27.900,230.000,140.800
28.000,230.000,140.800
28.100,230.000,140.800
28.200,230.000,140.800
28.300,230.000,140.800
28.400,230.000,140.800
28.500,230.000,142.400
28.600,230.000,140.800
28.700,230.000,140.800
28.800,230.000,140.800
28.900,230.000,142.400
29.000,230.000,140.800
29.100,230.000,142.400
29.200,230.000,140.800
29.300,230.000,142.400
29.400,0.000,124.800
29.500,0.000,94.400
29.600,0.000,67.200
29.700,0.000,43.200
29.800,0.000,20.800
29.900,0.000,1.600
30.000,0.000,0.000
